Waste_Type,Material,Toxicity,Recyclable,Energy_Recovery,City
Paper,Cardboard,Low,No,Low,Bhavnagar
Plastic,PVC,Medium,Yes,Medium,Vadodara
Organic,Garden Waste,Medium,Yes,High,Vadodara
Plastic,HDPE,High,Yes,Medium,Bhavnagar
E-Waste,Battery,Low,No,Low,Bhavnagar
Paper,Office Paper,Low,Yes,Low,Surat
E-Waste,Battery,Low,No,Low,Gandhinagar
Paper,Cardboard,Low,Yes,Low,Ahmedabad
Paper,Newspaper,High,Yes,Low,Ahmedabad
Organic,Biodegradable,Medium,Yes,High,Ahmedabad
Metal,Steel,Medium,No,High,Bhavnagar
Metal,Iron,High,Yes,Medium,Vadodara
E-Waste,Circuit Board,Low,No,High,Vadodara
Plastic,PET,High,No,Medium,Rajkot
Paper,Newspaper,Medium,Yes,Low,Vadodara
Plastic,HDPE,Low,Yes,Low,Surat
E-Waste,Battery,Medium,No,High,Jamnagar
E-Waste,Battery,Medium,Yes,High,Rajkot
Organic,Biodegradable,Medium,Yes,Medium,Ahmedabad
Paper,Cardboard,Low,No,Low,Jamnagar
Plastic,HDPE,Medium,No,Medium,Gandhinagar
E-Waste,Circuit Board,High,Yes,Medium,Rajkot
Organic,Garden Waste,Medium,Yes,Medium,Bhavnagar
Organic,Biodegradable,Low,No,Low,Gandhinagar
Organic,Garden Waste,Medium,No,High,Rajkot
Organic,Food Waste,Medium,Yes,Low,Jamnagar
Paper,Newspaper,Medium,Yes,High,Rajkot
Metal,Steel,High,No,Low,Surat
Plastic,PVC,Low,Yes,High,Bhavnagar
Plastic,PVC,Low,Yes,High,Ahmedabad
Paper,Newspaper,High,Yes,Medium,Bhavnagar
Organic,Food Waste,Medium,No,Low,Jamnagar
Organic,Garden Waste,Low,No,High,Gandhinagar
Metal,Iron,Low,Yes,Low,Ahmedabad
Organic,Food Waste,Medium,No,High,Gandhinagar
Plastic,PET,High,Yes,Medium,Jamnagar
Plastic,PET,High,No,Medium,Surat
Metal,Iron,Low,No,Medium,Ahmedabad
Paper,Office Paper,Medium,No,Low,Vadodara
Paper,Office Paper,Low,No,Low,Vadodara
Organic,Garden Waste,Low,No,Low,Gandhinagar
Metal,Iron,Low,Yes,Medium,Surat
E-Waste,Circuit Board,Low,No,Medium,Ahmedabad
Plastic,PET,Low,Yes,Medium,Ahmedabad
E-Waste,Circuit Board,Low,Yes,High,Ahmedabad
E-Waste,Battery,High,Yes,Low,Surat
Organic,Food Waste,Low,No,Medium,Bhavnagar
Organic,Food Waste,Low,No,Medium,Ahmedabad
Organic,Food Waste,High,No,High,Bhavnagar
Organic,Food Waste,High,No,Medium,Bhavnagar
E-Waste,Wires,High,Yes,Medium,Gandhinagar
Metal,Iron,Low,Yes,Low,Vadodara
Metal,Aluminium,High,No,Low,Bhavnagar
Plastic,PVC,Low,Yes,Low,Gandhinagar
E-Waste,Wires,Medium,Yes,High,Jamnagar
Plastic,PET,Medium,Yes,Medium,Ahmedabad
Organic,Biodegradable,High,Yes,Low,Rajkot
Organic,Food Waste,High,Yes,Low,Bhavnagar
Organic,Garden Waste,Low,Yes,Low,Gandhinagar
Plastic,HDPE,Medium,Yes,Medium,Gandhinagar
Plastic,HDPE,Medium,No,High,Vadodara
Paper,Cardboard,High,Yes,Low,Surat
E-Waste,Wires,Low,No,High,Vadodara
Paper,Cardboard,High,Yes,Medium,Jamnagar
Organic,Biodegradable,Low,No,High,Jamnagar
Plastic,PVC,High,Yes,Low,Rajkot
